Year,Month,Median montly series,Season
1789,12,144.8,Winter
1790,1,98.2,Winter
1790,2,33.8,Winter
1790,3,22.2,Spring
1790,4,37.0,Spring
1790,5,78.1,Spring
1790,6,98.2,Summer
1790,7,133.1,Summer
1790,8,99.3,Summer
1790,9,106.7,Autumn
1790,10,72.9,Autumn
1790,11,105.6,Autumn
1790,12,171.1,Winter
1791,1,150.1,Winter
1791,2,91.2,Winter
1791,3,45.6,Spring
1791,4,89.0,Spring
1791,5,60.1,Spring
1791,6,32.3,Summer
1791,7,107.9,Summer
1791,8,121.2,Summer
1791,9,46.7,Autumn
1791,10,106.8,Autumn
1791,11,140.1,Autumn
1791,12,121.2,Winter
1792,1,87.6,Winter
1792,2,86.3,Winter
1792,3,102.0,Spring
1792,4,119.0,Spring
1792,5,104.6,Spring
1792,6,60.2,Summer
1792,7,109.9,Summer
1792,8,167.4,Summer
1792,9,155.6,Autumn
1792,10,117.7,Autumn
1792,11,51.0,Autumn
1792,12,146.5,Winter
1793,1,75.4,Winter
1793,2,121.2,Winter
1793,3,94.5,Spring
1793,4,59.2,Spring
1793,5,40.1,Spring
1793,6,68.7,Summer
1793,7,57.3,Summer
1793,8,112.6,Summer
1793,9,74.4,Autumn
1793,10,68.7,Autumn
1793,11,88.8,Autumn
1793,12,93.5,Winter
1794,1,48.2,Winter
1794,2,127.4,Winter
1794,3,64.3,Spring
1794,4,108.8,Spring
1794,5,59.4,Spring
1794,6,32.1,Summer
1794,7,101.4,Summer
1794,8,102.6,Summer
1794,9,111.3,Autumn
1794,10,132.3,Autumn
1794,11,226.3,Autumn
1794,12,122.4,Winter
1795,1,71.2,Winter
1795,2,103.0,Winter
1795,3,85.5,Spring
1795,4,91.0,Spring
1795,5,28.5,Spring
1795,6,101.9,Summer
1795,7,57.0,Summer
1795,8,64.7,Summer
1795,9,16.4,Autumn
1795,10,222.5,Autumn
1795,11,137.0,Autumn
1795,12,117.3,Winter
1796,1,123.4,Winter
1796,2,72.0,Winter
1796,3,29.7,Spring
1796,4,40.5,Spring
1796,5,130.6,Spring
1796,6,59.4,Summer
1796,7,127.0,Summer
1796,8,20.7,Summer
1796,9,101.7,Autumn
1796,10,54.9,Autumn
1796,11,56.7,Autumn
1796,12,83.7,Winter
1797,1,62.8,Winter
1797,2,21.3,Winter
1797,3,68.1,Spring
1797,4,57.4,Spring
1797,5,97.8,Spring
1797,6,52.1,Summer
1797,7,95.7,Summer
1797,8,153.2,Summer
1797,9,125.5,Autumn
1797,10,100.0,Autumn
1797,11,98.9,Autumn
1797,12,130.8,Winter
1798,1,114.7,Winter
1798,2,49.4,Winter
1798,3,35.6,Spring
1798,4,69.2,Spring
